CMDLINE /home/dju/miniconda3/envs/retrisound/bin/python test.py
MEM 20651.121094 1721051365.2783
MEM 20651.308594 1721051365.3787
MEM 20651.554688 1721051365.4791
MEM 20651.804688 1721051365.5796
MEM 20651.992188 1721051365.6801
MEM 20652.179688 1721051365.7805
MEM 20652.492188 1721051365.8810
MEM 20652.679688 1721051365.9815
MEM 20652.929688 1721051366.0818
MEM 20653.117188 1721051366.1822
MEM 20653.425781 1721051366.2826
MEM 20653.769531 1721051366.3831
MEM 20653.832031 1721051366.4834
MEM 20654.019531 1721051366.5840
MEM 20654.269531 1721051366.6844
MEM 20654.457031 1721051366.7848
MEM 20654.707031 1721051366.8852
MEM 20655.082031 1721051366.9857
MEM 20655.269531 1721051367.0860
MEM 20778.960938 1721051367.1865
MEM 20863.484375 1721051367.2869
MEM 20949.847656 1721051367.3873
MEM 21087.195312 1721051367.4877
MEM 21129.417969 1721051367.5880
MEM 21171.273438 1721051367.6885
MEM 21215.242188 1721051367.7889
MEM 21261.746094 1721051367.8893
MEM 21307.484375 1721051367.9898
MEM 21395.667969 1721051368.0902
MEM 21466.640625 1721051368.1906
MEM 21567.906250 1721051368.2911
MEM 21722.261719 1721051368.3916
MEM 21808.886719 1721051368.4921
MEM 21899.925781 1721051368.5926
MEM 22013.343750 1721051368.6931
MEM 22055.027344 1721051368.7936
MEM 22097.679688 1721051368.8940
MEM 22181.503906 1721051368.9944
MEM 22342.085938 1721051369.0948
MEM 22425.984375 1721051369.1952
MEM 22513.949219 1721051369.2956
MEM 22574.410156 1721051369.3961
MEM 22637.734375 1721051369.4966
MEM 22669.656250 1721051369.5971
MEM 22747.906250 1721051369.6975
MEM 22882.542969 1721051369.7980
MEM 22934.824219 1721051369.8984
MEM 22978.582031 1721051369.9987
MEM 23020.722656 1721051370.0990
MEM 23097.851562 1721051370.1993
MEM 23255.500000 1721051370.2997
MEM 23340.128906 1721051370.4000
MEM 23425.992188 1721051370.5004
MEM 23564.015625 1721051370.6007
MEM 23656.914062 1721051370.7011
MEM 23717.464844 1721051370.8014
MEM 23759.562500 1721051370.9017
MEM 23807.304688 1721051371.0019
MEM 23885.417969 1721051371.1022
MEM 23941.761719 1721051371.2024
MEM 24034.484375 1721051371.3027
MEM 24173.761719 1721051371.4029
MEM 24214.421875 1721051371.5031
MEM 24257.562500 1721051371.6033
MEM 24331.644531 1721051371.7035
MEM 24476.148438 1721051371.8038
MEM 24559.335938 1721051371.9042
MEM 24647.828125 1721051372.0047
MEM 24727.796875 1721051372.1052
MEM 24845.207031 1721051372.2057
MEM 24937.847656 1721051372.3061
MEM 25025.734375 1721051372.4064
MEM 25104.710938 1721051372.5067
MEM 25169.917969 1721051372.6070
MEM 25245.898438 1721051372.7073
MEM 25396.031250 1721051372.8077
MEM 25476.312500 1721051372.9080
MEM 25561.582031 1721051373.0083
MEM 25644.832031 1721051373.1086
MEM 25792.507812 1721051373.2089
MEM 25878.171875 1721051373.3091
MEM 25970.328125 1721051373.4094
MEM 26131.097656 1721051373.5097
MEM 26216.023438 1721051373.6102
MEM 26307.433594 1721051373.7105
MEM 26388.566406 1721051373.8108
MEM 26490.859375 1721051373.9111
MEM 26534.136719 1721051374.0114
MEM 26633.132812 1721051374.1118
MEM 26716.066406 1721051374.2121
MEM 26801.582031 1721051374.3123
MEM 26887.949219 1721051374.4126
MEM 27028.992188 1721051374.5130
MEM 27088.640625 1721051374.6133
MEM 27171.550781 1721051374.7135
MEM 27313.691406 1721051374.8138
MEM 27408.250000 1721051374.9141
MEM 27494.789062 1721051375.0144
MEM 27589.871094 1721051375.1147
MEM 27665.675781 1721051375.2151
MEM 27758.445312 1721051375.3154
MEM 27894.242188 1721051375.4157
MEM 27969.726562 1721051375.5160
MEM 28057.597656 1721051375.6163
MEM 28138.218750 1721051375.7166
MEM 28279.269531 1721051375.8169
MEM 28366.886719 1721051375.9172
MEM 28457.242188 1721051376.0175
MEM 28590.285156 1721051376.1178
MEM 28671.582031 1721051376.2182
MEM 28758.957031 1721051376.3185
MEM 28829.289062 1721051376.4188
MEM 28911.800781 1721051376.5192
MEM 28982.375000 1721051376.6194
MEM 29095.105469 1721051376.7197
MEM 29171.593750 1721051376.8200
MEM 29258.222656 1721051376.9203
MEM 29344.398438 1721051377.0207
MEM 29478.078125 1721051377.1211
MEM 29563.273438 1721051377.2215
MEM 29648.062500 1721051377.3219
MEM 29784.589844 1721051377.4222
MEM 29865.203125 1721051377.5225
MEM 29958.082031 1721051377.6228
MEM 30049.789062 1721051377.7230
MEM 30108.363281 1721051377.8233
MEM 30169.332031 1721051377.9237
MEM 30249.671875 1721051378.0239
MEM 30365.078125 1721051378.1242
MEM 30435.476562 1721051378.2246
MEM 30519.898438 1721051378.3250
MEM 30608.929688 1721051378.4255
MEM 30738.312500 1721051378.5259
MEM 30824.855469 1721051378.6264
MEM 30908.539062 1721051378.7269
MEM 31028.355469 1721051378.8274
MEM 31118.863281 1721051378.9278
MEM 31205.687500 1721051379.0283
MEM 31296.066406 1721051379.1287
MEM 31370.660156 1721051379.2292
MEM 31445.753906 1721051379.3295
MEM 31542.910156 1721051379.4300
MEM 31659.527344 1721051379.5304
MEM 31746.429688 1721051379.6307
MEM 31806.640625 1721051379.7310
MEM 31864.589844 1721051379.8314
MEM 31891.183594 1721051379.9317
MEM 32009.042969 1721051380.0322
MEM 32095.816406 1721051380.1327
MEM 32183.871094 1721051380.2332
MEM 32293.695312 1721051380.3336
MEM 32388.402344 1721051380.4341
MEM 32475.042969 1721051380.5345
MEM 32569.835938 1721051380.6350
MEM 32639.531250 1721051380.7355
MEM 32731.886719 1721051380.8359
MEM 32853.382812 1721051380.9363
MEM 32934.894531 1721051381.0366
MEM 33019.812500 1721051381.1370
MEM 33110.207031 1721051381.2374
MEM 33219.476562 1721051381.3377
MEM 33311.457031 1721051381.4381
MEM 33398.984375 1721051381.5384
MEM 33526.632812 1721051381.6387
MEM 33607.914062 1721051381.7391
MEM 33694.261719 1721051381.8394
MEM 33784.226562 1721051381.9397
MEM 33854.851562 1721051382.0400
MEM 33918.546875 1721051382.1404
MEM 33979.417969 1721051382.2408
MEM 34085.480469 1721051382.3412
MEM 34172.273438 1721051382.4415
MEM 34259.042969 1721051382.5419
MEM 34347.160156 1721051382.6421
MEM 34450.546875 1721051382.7424
MEM 34536.558594 1721051382.8427
MEM 34622.359375 1721051382.9431
MEM 34679.718750 1721051383.0434
MEM 34679.718750 1721051383.1437
MEM 34679.718750 1721051383.2440
MEM 34679.718750 1721051383.3443
MEM 34679.718750 1721051383.4446
MEM 34690.820312 1721051383.5448
MEM 34705.863281 1721051383.6451
MEM 33489.957031 1721051383.7454
MEM 30589.957031 1721051383.8456
MEM 30026.773438 1721051383.9460
MEM 30026.835938 1721051384.0464
MEM 30026.898438 1721051384.1467
MEM 30056.832031 1721051384.2470
MEM 30127.992188 1721051384.3473
MEM 30216.414062 1721051384.4476
MEM 30306.957031 1721051384.5478
MEM 30472.554688 1721051384.6482
MEM 30698.183594 1721051384.7485
MEM 30743.246094 1721051384.8488
MEM 30807.101562 1721051384.9491
MEM 30892.601562 1721051385.0494
MEM 30978.984375 1721051385.1498
MEM 31064.683594 1721051385.2501
MEM 31150.250000 1721051385.3504
MEM 31237.375000 1721051385.4507
MEM 31324.687500 1721051385.5510
MEM 31410.585938 1721051385.6513
MEM 31497.250000 1721051385.7516
MEM 31583.898438 1721051385.8521
MEM 31671.750000 1721051385.9525
MEM 31757.722656 1721051386.0529
MEM 31845.988281 1721051386.1533
MEM 31931.464844 1721051386.2537
MEM 32019.156250 1721051386.3541
MEM 32106.792969 1721051386.4545
MEM 32192.605469 1721051386.5548
MEM 32279.941406 1721051386.6552
MEM 32364.714844 1721051386.7555
MEM 32452.632812 1721051386.8559
MEM 32537.878906 1721051386.9564
MEM 32626.507812 1721051387.0568
MEM 32714.453125 1721051387.1573
MEM 32800.710938 1721051387.2577
MEM 32887.593750 1721051387.3582
MEM 32974.585938 1721051387.4586
MEM 33062.699219 1721051387.5591
MEM 33168.234375 1721051387.6595
MEM 33255.269531 1721051387.7600
